Summary,Issue Type,Description,Status
"H01: Registrarse en la tienda","Story","Como un cliente quiero registrarme con la finalidad de personalizar mi experiencia y facilitar futuras compras.","Done"
"H02: Buscar en el catálogo","Story","Como un cliente quiero buscar en el catálogo con la finalidad de encontrar lo que necesito sin navegar todo el catálogo.","Done"
"H03: Filtrar y ordenar catálogo","Story","Como un cliente quiero filtrar y ordenar el catálogo con la finalidad de facilitar decisiones y evitar frustraciones.","Done"
"H04: Ver ficha de productos","Story","Como un cliente quiero ver la ficha de productos con la finalidad de consultar información detallada antes de comprar.","Done"
"H05: Comprar como invitado","Story","Como un cliente quiero comprar como invitado con la finalidad de realizar compras rápidas sin crear cuenta previa.","Done"
"H06: Agregar productos al carrito","Story","Como un cliente quiero agregar productos al carrito con la finalidad de preparar mi pedido con exactitud.","Done"
"H07: Checkout y pago","Story","Como un cliente quiero realizar checkout y pago con la finalidad de completar la compra de manera segura.","Done"
"H08: Seguimiento de pedido","Story","Como un cliente quiero dar seguimiento a mi pedido con la finalidad de saber su estado y tiempo estimado de entrega.","Done"
"H09: Devolución y cambios","Story","Como un cliente quiero solicitar devoluciones y cambios con la finalidad de tener confianza al comprar online.","Done"
"H010: Gestión de productos","Story","Como dueño/administrador quiero gestionar productos con la finalidad de mantener actualizado el catálogo de la tienda.","Done"
"H011: Gestión de inventario","Story","Como dueño/administrador quiero gestionar el inventario con la finalidad de asegurar stock y continuidad del negocio.","Done"
"H012: Gestión de pedidos","Story","Como dueño/administrador quiero gestionar los pedidos con la finalidad de cumplir con las compras en tiempo y forma.","Done"
"H013: Gestión de usuarios clientes","Story","Como dueño/administrador quiero gestionar usuarios clientes con la finalidad de brindar soporte y promociones personalizadas.","Done"
"H014: Verificación de pagos y cobros","Story","Como dueño/administrador quiero verificar el checkout y pagos con la finalidad de controlar los cobros de las compras.","Done"
"H015: Gestión de envíos y logística","Story","Como dueño/administrador quiero gestionar los envíos con la finalidad de coordinar la logística de entrega.","Done"
"H016: Gestión de promociones y descuentos","Story","Como dueño/administrador quiero gestionar promociones y descuentos con la finalidad de aumentar clientes y ventas.","Done"
"H017: Reportes y estadísticas","Story","Como dueño/administrador quiero ver reportes y estadísticas con la finalidad de visualizar el rendimiento y ventas de la tienda.","Done"
"H018: Gestión de devoluciones","Story","Como dueño/administrador quiero gestionar devoluciones con la finalidad de mantener transparencia y buena relación con los clientes.","Done"
